#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             ([no block])                                                                     = Steam
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
soymilk                                           (tofucraft:soymilk)                                                              = Soy Milk
soymilk_hell                                      (tofucraft:soymilk_hell)                                                         = Hell Soy Milk
zunda_soymilk                                     (tofucraft:zunda_soymilk)                                                        = Zunda SoyMilk
nigari                                            (tofucraft:nigari)                                                               = Bittern
soysauce                                          (tofucraft:soysauce)                                                             = Soy Sauce
creosote                                          ([no block])                                                                     = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
constantan                                        ([no block])                                                                     = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = Molten Crude Steel
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = Molten Crystalline Alloy
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = Molten Melodic Alloy
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = Molten Stellar Alloy
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = Molten Crystalline Pink Slime
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = Molten Energetic Silver
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = Molten Vivid Alloy
fusion_matrix                                     (contenttweaker:fusion_matrix)                                                   = Molten Coalescence Matrix
insanium                                          (contenttweaker:insanium)                                                        = Molten Insanium
ethaxium                                          (contenttweaker:ethaxium)                                                        = Ethaxium Fluid
mithrillium                                       (contenttweaker:mithrillium)                                                     = Molten Mithrillium
adaminite                                         (contenttweaker:adaminite)                                                       = Molten Adaminite
mithminite                                        (contenttweaker:mithminite)                                                      = Molten Mithminite
ravaging                                          (contenttweaker:ravaging)                                                        = Ravaging Fluid
gaia                                              (contenttweaker:gaia)                                                            = Gaian Mana
terra_alloy                                       (contenttweaker:terra_alloy)                                                     = Molten Terra Alloy
cosmilite                                         (contenttweaker:cosmilite)                                                       = Cosmilite Hyperfluid
astral_metal                                      (contenttweaker:astral_metal)                                                    = Astral Pulse
orichalcos                                        (contenttweaker:orichalcos)                                                      = Molten Orichalcos
ancient_debris                                    (contenttweaker:ancient_debris)                                                  = Molten Ancient Debris
netherite                                         (contenttweaker:netherite)                                                       = Molten Nethreite
scorched                                          (contenttweaker:scorched)                                                        = Molten Scorched Brick
organic_fluid                                     (contenttweaker:organic_fluid)                                                   = Organic Fluid
modularium                                        (contenttweaker:modularium)                                                      = Molten Modularium
meteor                                            (contenttweaker:meteor)                                                          = Molten Meteor
stainless_steel                                   (contenttweaker:stainless_steel)                                                 = Molten Stainless Steel
protonium                                         (contenttweaker:protonium)                                                       = Superdense Protonium Fluid
electronium                                       (contenttweaker:electronium)                                                     = Viscous Electronium Fluid
crimsonite                                        (contenttweaker:crimsonite)                                                      = Crimsonite Juice
manganese_steel                                   (contenttweaker:manganese_steel)                                                 = Molten Manganese Steel
durasteel                                         (contenttweaker:durasteel)                                                       = Molten Durasteel
aeonsteel                                         (contenttweaker:aeonsteel)                                                       = Molten Aeonsteel
chromasteel                                       (contenttweaker:chromasteel)                                                     = Molten Chromasteel
spectre                                           (contenttweaker:spectre)                                                         = Soul Springs
amber                                             (cyclicmagic:amber)                                                              = Amber
crystal                                           (cyclicmagic:crystal)                                                            = Crystallized Obsidian
milk                                              (cyclicmagic:milk)                                                               = Milk
xpjuice                                           (cyclicmagic:xpjuice)                                                            = Experience
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Liquid Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = Canola Oil
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = Refined Canola Oil
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = Crystallized Oil
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = Empowered Oil
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
terrasteel                                        (plustic:plustic.molten_terrasteel)                                              = Molten Terrasteel
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
manasteel                                         (plustic:plustic.molten_manasteel)                                               = Molten Manasteel
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
infinity                                          (plustic:plustic.molten_infinity)                                                = Molten Infinity
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
starmetal                                         (plustic:plustic.molten_starmetal)                                               = Molten Starmetal
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
gravitite                                         (tinkersaether:molten_gravitite)                                                 = Molten Gravitite
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = Molten Valkyrie Metal
crystal_water                                     (thaumadditions:crystal_water)                                                   = Crystal Water
sunnarium                                         ([no block])                                                                     = Molten Sunnarium
sky_stone                                         ([no block])                                                                     = Molten Sky Stone
fluix_steel                                       ([no block])                                                                     = Molten Fluix Steel
crystal_matrix                                    ([no block])                                                                     = Amorphous Crystal Matrix
neutronium                                        ([no block])                                                                     = Hyperdense Neutron Fluid
infinity_metal                                    ([no block])                                                                     = Flow of Infinity
bound_metal                                       ([no block])                                                                     = Molten Bound Metal
sentient_metal                                    ([no block])                                                                     = Fluidic Sentience
livingrock                                        ([no block])                                                                     = Molten Livingrock
draconium                                         ([no block])                                                                     = Molten Draconium
wyvern_metal                                      ([no block])                                                                     = Wyvern Coalescence
draconic_metal                                    ([no block])                                                                     = Draconic Coalescence
chaotic_metal                                     ([no block])                                                                     = Destructured Chaos
mica                                              ([no block])                                                                     = Molten Mica
essence_metal                                     ([no block])                                                                     = Molten Metallic Essence
pink_metal                                        ([no block])                                                                     = Molten Pink Metal
energetic_metal                                   ([no block])                                                                     = Molten Energium Metal
universal_metal                                   ([no block])                                                                     = Eutectic UU-Metal Alloy
refined_obsidian                                  ([no block])                                                                     = Molten Refined Obsidian
refined_glowstone                                 ([no block])                                                                     = Molten Refined Glowstone
dark_matter                                       ([no block])                                                                     = Dark Liquid
red_matter                                        ([no block])                                                                     = Red Liquid
fluxed_electrum                                   ([no block])                                                                     = Molten Fluxed Electrum
gelid_enderium                                    ([no block])                                                                     = Molten Gelid Enderium
void_metal                                        ([no block])                                                                     = Molten Void Metal
primal_metal                                      ([no block])                                                                     = Molten Primal Metal
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
